연번,호선,보관함명,상세위치
114,3,잠원,1번 출입구 우측 게이트 주변
115,3,고속터미널1~17,1번 출입구 9호선 환승게이트 주변
116,3,고속터미널18~72,대합실 중앙지하  2층 대합실 상가(네이처리퍼블릭) 주변
117,3,교대B,"지하 1층 12,13번 출입구 사이 화장실 주변"
118,3,남부터미널,"지하2층5,6번 출입구 주변 계단 밑 "
119,3,양재A,"11,12번 출입구 주변 게이트 주변"
120,3,양재B,"3,4번 출입구 주변 편의점 주변"
121,3,매봉,"1,2번 출입구 주변 화장실 주변"
122,3,도곡,4번 출입구 주변 게이트 맞은편
123,3,대치,3번 출입구 주변 게이트 주변
124,3,학여울,1번 출입구 주변 역무실 주변
125,3,대청,3번 출입구 주변 게이트 주변　
126,3,일원,4번 출입구에서 5번 출입구 가는 통로 내부
127,3,수서,3번 출입구 게이트 주변
128,3,가락시장A,7번 출입구 화장실 주변
129,3,경찰병원,2번 출입구 화장실 주변
130,3,오금A,2번 출입구 주변
131,4,당고개,지상2층 게이트 주변
132,4,상계,지상2층 복도사이
133,4,노원A,지상2층 복도사이
134,4,창동B,2번 출입구 주변
135,4,쌍문,1번 출입구 주변
136,4,수유A,"5,6번 출입구 주변"
137,4,미아B,대합실 중앙통로 화장실 좌측벽면
138,4,미아사거리A,롯데몰  환승통로
139,4,미아사거리B,5번 출입구 게이트주변
140,4,길음,10번 출입구 게이트주변
141,4,성신여대입구A,우이신설  환승통로 주변 벽면
142,4,성신여대입구B,7번 출입구 주변
143,4,한성대입구,5번 출입구 게이트 주변
144,4,혜화1~43,지하 1층 화장실 주변
145,4,혜화44~81,4번 출입구 주변
146,4,혜화82~102,4번 출입구 주변
147,4,혜화103~128,4번 출입구 주변
148,4,동대문C,8번 출입구 주변
149,4,동대문D,9번 출입구 아이센터(i센터) 주변
150,4,동대문역사문화공원61~68,4호선 게이트 화장실 주변
151,4,충무로A,"1,2,8번 출입구 주변"
152,4,충무로B,"1,4번 출입구 주변"
153,4,명동1~13,1번 출입구 주변
154,4,명동14~43,4번 출입구 게이트 내부
155,4,명동44~85,4번 출입구 게이트 내부
156,4,명동86~126,4번 출입구 게이트 내부
157,4,회현A,"3,4,5번 출입구 게이트 내부 지하2층 상가 주변"
158,4,회현B,"1,2,6,7번 출입구 게이트 내부"
159,4,서울역F,"11,14번 출입구 주변"
160,4,숙대입구,"5,6,7,8번 출입구 주변"
161,4,삼각지A,"1,2,5,6번 출입구 주변"
162,4,신용산,"1,5,6번 출입구 게이트 주변"
163,4,이촌,1번 출입구 게이트 주변
164,4,동작,1번 출입구 게이트 주변
165,4,총신대입구(이수)A,2번 출입구 주변
166,4,총신대입구(이수)B,14번 출입구 게이트 주변
167,4,사당B,"지하 1층 11,12번 출입구에서 3,4번 출입구 가는 통로"
168,4,사당C,지하 1층 12번 출입구 주변
169,4,남태령,"지하 1층 1번 출입구에서 2,3번 출구 가는 통로"
170,5,방화,"방화역 B1층 3,4번 출구 방면"
171,5,개화산,개화산역 B1층 게이트 우측 E/V 옆(2번출구) 
172,5,김포공항,김포공항역 B2층 국내선 방면 무빙워크옆
173,5,송정,"송정역 B2층 1,4번 출구 사이"
174,5,마곡,마곡역 B1층 환기실 우측(2번출구)
175,5,발산,발산역 B1층 9번 출구 방면
176,5,우장산,"우장산역 B1층 3,4번 출구 방면"
177,5,화곡,"화곡역 B1층 3,4번 출구 방면 "
178,5,까치산,까치산역 B1층 4번 출구 방면
179,5,신정,"신정역 B2층 팔각의자 옆 (1,4,5 출구)"
180,5,목동,목동역 B1층 2번 출구 방면
181,5,오목교A,오목교역 B1층 7번 출구 방면(IBK현금지급기 옆)
182,5,오목교B,"오목교역 B2층 게이트, 도서 대여기 옆"
183,5,양평,"양평역 B1층 엘리베이터(E/V)주변(1,2번출구)"
184,5,영등포구청B,"영등포구청역 B4층 게이트 주변(6,7번출구)"
185,5,영등포시장,영등포시장역 B2층 편의점(7-ELEVEN) 옆(1~4번출구) 
186,5,신길,신길역 B3층 게이트 주변(3번출구)
187,5,여의도,여의도역 B1층 6번 출구 방면
188,5,여의나루,"여의나루역 B1층 1, 4번 출구 방면 (현금지급기 옆)"
189,5,마포,"마포역 B1층 3, 4번 출구 방면 (조명광고 옆)"
190,5,공덕B,공덕역 B1층 8번 출구 방면
191,5,애오개,"애오개역 B1층 화장실 주변(2번출구,E/V 주변)"
192,5,충정로B,"충정로역 B1층 화장실 주변(8,9번출구)"
193,5,서대문,"서대문역 B1층 4, 5번 출구 방면 (상가 맞은편)"
194,5,광화문1~46,광화문역 B1층 2번 출구 방면 (통로)
195,5,광화문47~59,"광화문역 B2층 고객상담실 앞(1,8번출구)"
196,5,광화문60~88,광화문역 B1층 세븐일레븐 건너편(통로)
197,5,종로3가D,"종로3가역 B1층 4, 5번 출구 방면 (게이트 주변)"
198,5,을지로4가B,"을지로4가역 B1층 편의점(7-ELEVEN) 주변(1,2번출구)"
199,5,동대문역사문화공원89~97,"동대문역사문화공원역 B2층 게이트 주변(6,7번출구)"
200,5,청구,"청구역 B1층 2, 3번 출구 방면"
201,5,신금호,신금호역 B1층 E/V 기계실 주변
202,5,행당,행당역 B3층 화장실 주변
203,5,왕십리B,"왕십리역 B1층 4, 5번 출구 방면"
204,5,왕십리C,6번출구 방향
205,5,마장,마장역 B1층 편의점(7-ELEVEN) 주변
206,5,답십리,답십리역 B2층 게이트 주변
207,5,장한평,장한평역 B1층 화장실 주변
208,5,군자,"군자역 B1층 5, 6번 출구 방면"
209,5,아차산,아차산역 B1층  화장실 주변
210,5,광나루,"광나루역 B1층 3, 4번 출구 방면"
211,5,천호A,천호역 B1층 3번출구 방면
212,5,천호B,천호역 B1층 상가 현금지급기 주변
213,5,강동,강동역 B1층 화장실 주변
214,5,길동,길동역 B1층 연결통로
215,5,굽은다리,"굽은다리역 B1층 1, 2번 출구 방면"
216,5,명일,명일역 B1층 3번 출구 방면
